n,resid_R2_iso,resid_R2_iso_ci_low,resid_R2_iso_ci_high,resid_iso_slope_raw,resid_iso_slope_raw_ci_low,resid_iso_slope_raw_ci_high,resid_iso_slope_std,resid_iso_slope_std_ci_low,resid_iso_slope_std_ci_high,resid_iso_intercept_raw,null_R2_shuffled_iso,null_R2_shuffled_iso_ci_low,null_R2_shuffled_iso_ci_high,null_slope_std,null_slope_raw,scope,condition_id,rule,L,rho,horizon
1000,0.30769243639130217,0.2639626502170726,0.34522069510859293,-0.5883446146928465,-0.6360831944353583,-0.5329906408955798,-0.5547003122329228,-0.5875543955462321,-0.5137727169171764,466.1089608550312,0.0004601625628686268,9.87396764387527e-07,0.005489194182657906,-0.021451400021178648,-0.02275249427799657,condition,GoL_L128_rho0.20,GoL,128,0.2,1
1000,0.18271238655463262,0.14410918409006082,0.22030481298223978,-0.518811888780519,-0.5780072489850618,-0.4467188020870263,-0.4274486946460741,-0.4693659505009349,-0.3796170771496284,411.02249314370096,0.0005743428230489123,3.0845565298170952e-06,0.00422723044320142,0.023965450612269585,0.029087843414571136,condition,GoL_L128_rho0.20,GoL,128,0.2,5
1000,0.17847312538701976,0.14251796661758748,0.21605827108547987,-0.5518140058024296,-0.6204195908964751,-0.48627494229552987,-0.4224607974558343,-0.4648206585722774,-0.37751468246935604,437.16802432890523,0.003729167949049428,6.665924391913159e-07,0.005011514286432875,-0.06106691370168672,-0.07976498286859827,condition,GoL_L128_rho0.20,GoL,128,0.2,10
1000,0.16014537227130976,0.1197023714266184,0.19749624045226663,-0.5365627730493067,-0.6041809069866467,-0.4620452796329427,-0.40018167408229693,-0.4444054848016077,-0.34597951053337817,425.08541819503677,0.010041776991847162,9.192511888633792e-07,0.003994826271891345,-0.10020866724913186,-0.1343595768248799,condition,GoL_L128_rho0.20,GoL,128,0.2,25
1000,0.14360497386440096,0.10145125089037146,0.18717290115230684,-0.5528786763140051,-0.6448351704482929,-0.4572186322461543,-0.3789524691361714,-0.4326347430361864,-0.31851298350342655,438.0114967656549,0.0020617909052951244,5.925140510870676e-07,0.005391242264039006,-0.04540694776457956,-0.0662471819560012,condition,GoL_L128_rho0.20,GoL,128,0.2,50
1000,0.13900872773076056,0.0998885655348387,0.17919096852784047,-0.5390189519289291,-0.6274513760521526,-0.45026147119719506,-0.3728387422609948,-0.4233092848866439,-0.3160515132455435,427.03129643827094,0.0002561068803893507,2.1614357720328716e-06,0.005224880511390798,0.016003339663621854,0.023136284927196892,condition,GoL_L128_rho0.20,GoL,128,0.2,100
1000,0.13626351366926703,0.1003067171821496,0.1734413151959942,-0.5667229752090013,-0.6445052565699899,-0.4843542924323781,-0.3691388812754178,-0.4164628319829006,-0.31671219610137313,448.9794764336287,0.0004797956886064547,2.7308782290513814e-07,0.005793741802515932,0.021904239055637435,0.0336286318157803,condition,GoL_L128_rho0.20,GoL,128,0.2,200
1000,0.39970294361433045,0.347121127201456,0.4442972444785096,-0.8008639525383058,-0.8643422801146828,-0.7427391203054677,-0.6322206447232886,-0.6665562575222712,-0.589169786857506,710.9621686821657,0.0010390866138100252,2.5448113998544078e-06,0.005375435249058707,-0.03223486643077606,-0.04083343806432437,condition,GoL_L128_rho0.25,GoL,128,0.25,1
1000,0.2992010169668633,0.2515377432263985,0.34551121359613407,-0.7110310675630966,-0.7713814316136175,-0.6470562559755916,-0.5469927028460833,-0.5878011438514419,-0.5015353657112609,631.2135640427338,0.0025766675269803807,7.543959621131302e-07,0.005024341631117321,-0.0507608857978303,-0.06598363493970724,condition,GoL_L128_rho0.25,GoL,128,0.25,5
1000,0.24753363240327797,0.19731437326955703,0.2987151041129458,-0.6621867038551369,-0.7350022942706522,-0.5846573322438509,-0.4975275192421803,-0.5465483527983744,-0.44419084776284057,587.8522732271747,0.0014983468092011343,1.670224047217728e-06,0.004811010709683618,-0.03870848497682514,-0.05151924885898208,condition,GoL_L128_rho0.25,GoL,128,0.25,10
1000,0.21296635947816667,0.16968683345806038,0.25781255158460015,-0.6590088694201407,-0.7335449241661429,-0.5841939107097183,-0.4614827835121988,-0.5077524453011741,-0.4119289009016913,585.0311697745134,0.0007448882274573299,1.3970776097577135e-06,0.0057553838218747,0.027292640536547872,0.03897456812276778,condition,GoL_L128_rho0.25,GoL,128,0.25,25
1000,0.20647994696634409,0.1621039842751627,0.24784030084963088,-0.6623377599245625,-0.7446420421462567,-0.5813173999875062,-0.454400645869198,-0.49783540591647024,-0.4026208164081477,587.986372346471,0.0006471572185815511,2.438286203987339e-06,0.0046523063934249065,0.0254392849463512,0.03708049088094626,condition,GoL_L128_rho0.25,GoL,128,0.25,50
1000,0.19641050594464993,0.15096417654692032,0.23627454607616308,-0.7076113952685157,-0.7900753144362466,-0.6110251373279039,-0.44318224913081744,-0.48608061903574534,-0.3885402441965143,628.1777704812532,4.089222826020311e-06,1.2918729283745157e-06,0.0042907714691629234,-0.0020221826885856438,-0.003228738327323094,condition,GoL_L128_rho0.25,GoL,128,0.25,100
