split_type,heldout,model,n_train,n_test,n_features,test_R2_z,test_corr_z,features
leave_density,rho=0.35,fate_all,12000,4000,8,0.5215839347552382,0.7229684357532155,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.35,class_counts,12000,4000,15,0.3527696679025478,0.5950198788780146,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_density,rho=0.35,class_losses,12000,4000,15,0.48376482554039757,0.6957646336934807,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.35,class_counts_plus_losses,12000,4000,30,0.48451516267370265,0.6968649920166268,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=64,iso_count,8000,8000,1,0.3709972063278959,0.6093598486180963,iso_count
leave_size,L=64,local_window_loss,8000,8000,1,0.5325486333591936,0.7298321433006734,iso_local_window_loss_sum
leave_size,L=64,local_window_delta_loss_gain,8000,8000,3,0.5490063423024201,0.7409836447918312,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=64,fate_core,8000,8000,4,0.42651148402493777,0.6532615111108102,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_size,L=64,fate_all,8000,8000,8,0.5516178792055528,0.7427431408318449,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=64,class_counts,8000,8000,15,0.37209663906506807,0.6106517890709322,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_size,L=64,class_losses,8000,8000,15,0.5274215744736186,0.7264969723919805,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=64,class_counts_plus_losses,8000,8000,30,0.5315573075482802,0.7293071543185818,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=128,iso_count,8000,8000,1,0.34957634896902634,0.5915157342362718,iso_count
leave_size,L=128,local_window_loss,8000,8000,1,0.5177935801393396,0.7196501629317604,iso_local_window_loss_sum
leave_size,L=128,local_window_delta_loss_gain,8000,8000,3,0.5358490988120959,0.7320505211397106,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=128,fate_core,8000,8000,4,0.4115412817805064,0.6417080508122126,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_size,L=128,fate_all,8000,8000,8,0.5394475450700306,0.7345178210667681,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=128,class_counts,8000,8000,15,0.34698806287400386,0.5897405378446705,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_size,L=128,class_losses,8000,8000,15,0.5132392480386232,0.7166500424067809,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=128,class_counts_plus_losses,8000,8000,30,0.5183862184880781,0.7202668080151093,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=GoL,iso_count,8000,8000,1,0.3660429658577259,0.6050879826236657,iso_count
leave_rule,rule=GoL,local_window_loss,8000,8000,1,0.527475821807873,0.7262824121235114,iso_local_window_loss_sum
leave_rule,rule=GoL,local_window_delta_loss_gain,8000,8000,3,0.5440999205497358,0.7376319304884322,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=GoL,fate_core,8000,8000,4,0.4221118412499921,0.6497339759882644,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_rule,rule=GoL,fate_all,8000,8000,8,0.5476224820918146,0.7400170207366975,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=GoL,class_counts,8000,8000,15,0.3616397912874907,0.6014327324434563,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_rule,rule=GoL,class_losses,8000,8000,15,0.5234448936788831,0.7236348650707635,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=GoL,class_counts_plus_losses,8000,8000,30,0.5283587702302377,0.7270080192166019,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=HighLife,iso_count,8000,8000,1,0.35487837901642405,0.5957876002307011,iso_count
leave_rule,rule=HighLife,local_window_loss,8000,8000,1,0.52300885347736,0.7231998941089218,iso_local_window_loss_sum
leave_rule,rule=HighLife,local_window_delta_loss_gain,8000,8000,3,0.5406624775057882,0.7352976376337389,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=HighLife,fate_core,8000,8000,4,0.4152972659675036,0.6444835631562397,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_rule,rule=HighLife,fate_all,8000,8000,8,0.5436171089727568,0.7373072475830958,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=HighLife,class_counts,8000,8000,15,0.3584324073425943,0.5987798845874726,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_rule,rule=HighLife,class_losses,8000,8000,15,0.5177278211503287,0.7196576769507588,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=HighLife,class_counts_plus_losses,8000,8000,30,0.5242333797055906,0.7241549795741199,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.20,iso_count,15000,1000,1,0.30531794261993783,0.5547003122329229,iso_count
leave_condition,GoL_L128_rho0.20,local_window_loss,15000,1000,1,0.4801574046614756,0.6937222731926326,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.20,local_window_delta_loss_gain,15000,1000,3,0.5057575232240754,0.7115232789886418,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.20,fate_core,15000,1000,4,0.31170172453446365,0.5693631011200111,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.20,fate_all,15000,1000,8,0.49710657366789635,0.7055679846270113,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.20,class_counts,15000,1000,15,0.26022126009847446,0.5290617699778999,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.20,class_losses,15000,1000,15,0.4590622724155494,0.6816123371523055,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.20,class_counts_plus_losses,15000,1000,30,0.4747372304263331,0.6915071865021859,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.25,iso_count,15000,1000,1,0.398549724400731,0.6322206447232884,iso_count
leave_condition,GoL_L128_rho0.25,local_window_loss,15000,1000,1,0.5486065649488283,0.7408803751855972,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.25,local_window_delta_loss_gain,15000,1000,3,0.5724734247765114,0.7569049443301891,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.25,fate_core,15000,1000,4,0.44888855693258944,0.6703528040670673,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.25,fate_all,15000,1000,8,0.5740552046761029,0.7579230290139535,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.25,class_counts,15000,1000,15,0.3904351142946385,0.6252175267067989,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.25,class_losses,15000,1000,15,0.5534678386857151,0.7441126380670818,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.25,class_counts_plus_losses,15000,1000,30,0.5540607386222061,0.7444009367818518,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.30,iso_count,15000,1000,1,0.3356820646689922,0.5797967572963185,iso_count
leave_condition,GoL_L128_rho0.30,local_window_loss,15000,1000,1,0.5198270624702056,0.7210012418015826,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.30,local_window_delta_loss_gain,15000,1000,3,0.5381710656844454,0.7336123129278073,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.30,fate_core,15000,1000,4,0.4257844652732584,0.6527766150715445,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.30,fate_all,15000,1000,8,0.5456176884391329,0.7386698732744532,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.30,class_counts,15000,1000,15,0.35051470444294164,0.5928289108935497,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.30,class_losses,15000,1000,15,0.523022900732004,0.7236730586352075,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.30,class_counts_plus_losses,15000,1000,30,0.5278368353215719,0.7267951277661693,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.35,iso_count,15000,1000,1,0.35776921683104035,0.5981429012661459,iso_count
leave_condition,GoL_L128_rho0.35,local_window_loss,15000,1000,1,0.49935369182479206,0.7069050569219113,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.35,local_window_delta_loss_gain,15000,1000,3,0.5091563870109908,0.7144040808061501,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.35,fate_core,15000,1000,4,0.43567246358492717,0.6605230182816669,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.35,fate_all,15000,1000,8,0.5158258998944638,0.7191927864253892,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.35,class_counts,15000,1000,15,0.3630488744092183,0.6046507933290552,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.35,class_losses,15000,1000,15,0.49153483002260556,0.7012093661463151,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.35,class_counts_plus_losses,15000,1000,30,0.4907535719679249,0.7005397398322941,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L64_rho0.20,iso_count,15000,1000,1,0.35512944964307347,0.59594618476391,iso_count
leave_condition,GoL_L64_rho0.20,local_window_loss,15000,1000,1,0.5348695484498144,0.731382294719176,iso_local_window_loss_sum
leave_condition,GoL_L64_rho0.20,local_window_delta_loss_gain,15000,1000,3,0.5630668327985346,0.7507015174510376,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.20,fate_core,15000,1000,4,0.3798902455874785,0.6176368682750525,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L64_rho0.20,fate_all,15000,1000,8,0.5642877604090473,0.7518533026274945,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L64_rho0.20,class_counts,15000,1000,15,0.32835952552863445,0.576821252036207,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L64_rho0.20,class_losses,15000,1000,15,0.5244080793692831,0.724195829164231,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
