split_type,heldout,model,n_train,n_test,n_features,test_R2,test_corr_pred_target,mean_prediction,features
leave_density,rho=0.35,local_window_loss,12000,4000,1,0.008979264359844752,0.09892021202384114,0.28748696241579536,iso_local_window_loss_sum
leave_density,rho=0.35,local_window_delta_loss_gain,12000,4000,3,-0.0174819781522364,0.31681716732450854,12.905578221193384,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.35,fate_core,12000,4000,4,-0.020671820452962564,0.18526703138910974,-9.347644959372687,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_density,rho=0.35,fate_all,12000,4000,8,0.38226917877253486,0.6268358428918924,4.047877810315624,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_density,rho=0.35,class_counts,12000,4000,15,0.003954785395812288,0.10623343736246546,-3.470300623378076,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_density,rho=0.35,class_losses,12000,4000,15,0.009590273694743523,0.12343825237513865,-3.0458543682651595,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_density,rho=0.35,class_counts_plus_losses,12000,4000,30,0.38136737242418917,0.6212406472426709,-0.5720143198020073,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=64,iso_count,8000,8000,1,-76.45960073375593,0.5153401056337048,199.20993854974117,iso_count
leave_size,L=64,local_window_loss,8000,8000,1,-130.81889148133646,0.6854565046144783,260.65592473828735,iso_local_window_loss_sum
leave_size,L=64,local_window_delta_loss_gain,8000,8000,3,-123.32423452278407,0.693833641387054,253.11593283413646,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=64,fate_core,8000,8000,4,-156.6157190314941,0.5431710262165637,284.9876374255232,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_size,L=64,fate_all,8000,8000,8,-52.82789670877122,0.6917514501523051,166.1094216313283,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_size,L=64,class_counts,8000,8000,15,-97.4351657436264,0.5073086498795311,224.8297538592023,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_size,L=64,class_losses,8000,8000,15,-137.16001678648746,0.6814599485004548,266.8793539738973,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_size,L=64,class_counts_plus_losses,8000,8000,30,-52.73479273960508,0.6937476740439583,165.96837107746717,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
