split_type,model,n_splits,mean_test_R2,median_test_R2,min_test_R2,max_test_R2,frac_R2_positive,mean_corr,frac_corr_positive
leave_condition,class_counts,16,0.0038790832283381663,0.007828028750378024,-0.019815343800583696,0.0143811743567267,0.75,0.14134761347519953,1.0
leave_condition,class_counts_plus_losses,16,0.37935919204268986,0.38594621382249183,0.3031722993598379,0.4286796998992001,1.0,0.6213678190150767,1.0
leave_condition,class_losses,16,0.0024963165866599066,0.01163602772225919,-0.06330771796352241,0.02485596090523645,0.8125,0.32449791063680494,1.0
leave_condition,fate_all,16,0.3907432006521412,0.39625539000981,0.3075033715309946,0.4412498439634609,1.0,0.6288892549956451,1.0
leave_condition,fate_core,16,0.01930974524399226,0.017150510687249543,-0.0001447667475462655,0.043707456153142754,0.9375,0.19238191217610487,1.0
leave_condition,iso_count,16,0.00026354892887826137,0.0009390258302376386,-0.007083492021568993,0.003934534659309374,0.5,0.6004377914271836,1.0
leave_condition,local_window_delta_loss_gain,16,0.0357077959451682,0.05601970824489699,-0.1379922886651168,0.09382398780587609,0.875,0.47827347846205104,1.0
leave_condition,local_window_loss,16,0.0005378085707270566,0.0036490152981867863,-0.02625001333931043,0.01194794139652433,0.5,0.7247411531162168,1.0
leave_density,class_counts,4,-0.006666135425483971,0.00601636226841934,-0.0480903909746595,0.009393124735884939,0.75,0.08810643569338847,1.0
leave_density,class_counts_plus_losses,4,0.37736027198266897,0.38092408418929496,0.3357722656412856,0.41182065391080014,1.0,0.6206143550317965,1.0
leave_density,class_losses,4,-0.00787946456825736,0.012766197553320924,-0.07385204519460209,0.0168017918149308,0.75,0.1194652474743812,1.0
leave_density,fate_all,4,0.37953259295937813,0.3892387166709655,0.3190463117452662,0.42060662675031535,1.0,0.6249386978980811,1.0
leave_density,fate_core,4,0.0070362805898149805,0.010120388955658366,-0.020671820452962564,0.028576164900905754,0.75,0.1680025332655799,1.0
leave_density,iso_count,4,0.0023937712419680457,0.0023804194363142295,0.002325884560345992,0.0024883615348977317,1.0,0.0497764162885217,1.0
leave_density,local_window_delta_loss_gain,4,-0.04153901658409487,0.01633698183906196,-0.26632592100781416,0.06749589099331077,0.5,0.29872138139445076,1.0
leave_density,local_window_loss,4,0.00820643332658344,0.00843070450922423,0.006896334606463661,0.00906798968142164,1.0,0.09353788279485972,1.0
leave_rule,class_counts,2,0.007008185708089698,0.007008185708089698,0.0064480834420547195,0.007568287974124677,1.0,0.08490353100628883,1.0
leave_rule,class_counts_plus_losses,2,0.3840329131863165,0.3840329131863165,0.3746376273264812,0.3934281990461518,1.0,0.6203978486138034,1.0
leave_rule,class_losses,2,0.013202796325104404,0.013202796325104404,0.011769686561470927,0.014635906088737882,1.0,0.11580989863417407,1.0
leave_rule,fate_all,2,0.3958202052936079,0.3958202052936079,0.3874188568510698,0.404221553736146,1.0,0.6302716801021752,1.0
leave_rule,fate_core,2,0.026191819877439737,0.026191819877439737,0.024786176023623763,0.02759746373125571,1.0,0.16220441246816336,1.0
leave_rule,iso_count,2,0.0024153803271312335,0.0024153803271312335,0.002377157761090265,0.002453602893172202,1.0,0.04919352724148571,1.0
leave_rule,local_window_delta_loss_gain,2,0.04926929653993106,0.04926929653993106,0.044775916669823945,0.05376267641003818,1.0,0.22475066240556796,1.0
leave_rule,local_window_loss,2,0.008642308289824707,0.008642308289824707,0.008434502700302549,0.008850113879346866,1.0,0.09300315952716384,1.0
leave_size,class_counts,2,-85.01287997531374,-85.01287997531374,-97.4351657436264,-72.59059420700108,0.0,0.44589966183584817,1.0
leave_size,class_counts_plus_losses,2,-44.888587818750075,-44.888587818750075,-52.73479273960508,-37.04238289789507,0.0,0.6749641502795966,1.0
leave_size,class_losses,2,-99.80590778324759,-99.80590778324759,-137.16001678648746,-62.451798780007735,0.0,0.6350646923928787,1.0
leave_size,fate_all,2,-44.92732141511402,-44.92732141511402,-52.82789670877122,-37.026746121456824,0.0,0.6708402486386177,1.0
leave_size,fate_core,2,-119.71671075631332,-119.71671075631332,-156.6157190314941,-82.81770248113251,0.0,0.5062307671835351,1.0
leave_size,iso_count,2,-73.53912492497582,-73.53912492497582,-76.45960073375593,-70.6186491161957,0.0,0.44350709474872585,1.0
leave_size,local_window_delta_loss_gain,2,-89.98716078475115,-89.98716078475115,-123.32423452278407,-56.650087046718234,0.0,0.6434206626673328,1.0
leave_size,local_window_loss,2,-96.75572805195844,-96.75572805195844,-130.81889148133646,-62.692564622580434,0.0,0.6360465595446805,1.0
