scope,rule,target,model,R2,R2_std,iso_slope_standardized,iso_slope_ci_low,iso_slope_ci_high
global_residual_pooled,ALL,fine_net_resid,iso_only,0.19503323201669184,0.01565337401906057,-5.341877978424587,-5.497783828333429,-5.1746327748069865
global_residual_pooled,ALL,fine_net_resid,coarse_only,0.002378740762714315,0.0021403174016168093,,,
global_residual_pooled,ALL,fine_net_resid,entropy_only,0.0020473386112519476,0.0018396377614675386,,,
global_residual_pooled,ALL,fine_net_resid,all_resid,0.19707288709911433,0.015686648118867576,-5.30429233835647,-5.472588080248637,-5.133084678761934
global_residual_pooled,ALL,fine_net_resid,null_iso_only,-0.0015559568871718276,0.0011182523744906216,-0.0832193421846201,-0.2890695221611291,0.15202998934151554
rule_residual_pooled,GoL,fine_net_resid,iso_only,0.20812903411504502,0.027253375635206238,-5.586965753360457,-5.7927881961252305,-5.357457012480998
rule_residual_pooled,GoL,fine_net_resid,coarse_only,0.0015798634322246041,0.0023757406335197765,,,
rule_residual_pooled,GoL,fine_net_resid,entropy_only,0.0019870902567254546,0.0027159091654221715,,,
rule_residual_pooled,GoL,fine_net_resid,all_resid,0.2097272304320675,0.026702576601419004,-5.5530123301154495,-5.786428926224469,-5.348230008487085
rule_residual_pooled,GoL,fine_net_resid,null_iso_only,-0.002194754146005984,0.001151599701416157,-0.034221391078912845,-0.3588536534293972,0.26538200617177793
rule_residual_pooled,HighLife,fine_net_resid,iso_only,0.18257816580527006,0.014841907422956496,-5.116728872093183,-5.357538364210978,-4.8858813110646935
rule_residual_pooled,HighLife,fine_net_resid,coarse_only,0.0033494292843583517,0.007126951175486076,,,
rule_residual_pooled,HighLife,fine_net_resid,entropy_only,0.002219619228635872,0.005173749934114159,,,
rule_residual_pooled,HighLife,fine_net_resid,all_resid,0.18496810090352428,0.015026466065889522,-5.07625087850531,-5.275442432108674,-4.82453460676552
rule_residual_pooled,HighLife,fine_net_resid,null_iso_only,-0.00061892112015558,0.0012431075546413732,-0.12788574474172185,-0.4631312828711802,0.2039285897593016
