scope,rule,L,rho,target,R2_controls,R2_controls_std,R2_iso,R2_iso_std,R2_coarse,R2_coarse_std,R2_entropy,R2_entropy_std,R2_all,R2_all_std,R2_null_iso_shuffle,R2_null_iso_shuffle_std,R2_null_target_shuffle,R2_null_target_shuffle_std,deltaR2_iso,deltaR2_coarse,deltaR2_entropy,deltaR2_all,deltaR2_null_iso_shuffle,deltaR2_null_target_shuffle,iso_slope_standardized,null_iso_slope_standardized,iso_slope_ci_low,iso_slope_ci_high,null_iso_slope_ci_low,null_iso_slope_ci_high,deltaR2_iso_ci_low,deltaR2_iso_ci_high,deltaR2_coarse_ci_low,deltaR2_coarse_ci_high,deltaR2_entropy_ci_low,deltaR2_entropy_ci_high,deltaR2_all_ci_low,deltaR2_all_ci_high,deltaR2_null_iso_shuffle_ci_low,deltaR2_null_iso_shuffle_ci_high,TSI,TSI_norm,verdict_component
condition,GoL,64.0,0.2,target_fine_net,0.022797853861924476,0.03963921992573288,0.16668322442880695,0.04921295968750367,0.024926241477055754,0.041963833947472384,0.029050251002794326,0.03793157144031998,0.29369120756983846,0.060865071031768865,0.024757601399535444,0.03829602004843157,-0.004626375039617159,0.00386976171836149,0.14388537056688247,0.002128387615131278,0.00625239714086985,0.270893353707914,0.0019597475376109674,-0.027424228901541635,0.013535315459118331,0.03454527162256878,-0.06037996119807789,0.09162747549195914,-0.02211402809153463,0.09095330452087132,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.2,target_delta_components,0.022797853861924476,0.03963921992573288,0.16668322442880695,0.04921295968750367,0.024926241477055754,0.041963833947472384,0.029050251002794326,0.03793157144031998,0.29369120756983846,0.060865071031768865,0.024757601399535444,0.03829602004843157,-0.014973392369896832,0.004451149706615287,0.14388537056688247,0.002128387615131278,0.00625239714086985,0.270893353707914,0.0019597475376109674,-0.03777124623182131,0.013535315459118331,0.03454527162256878,-0.06790330424927753,0.08442567654645204,-0.03653658612372422,0.09759768307600906,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.2,target_delta_density,0.08565878818835482,0.0396761384995618,0.0841525776714549,0.037804034845973895,0.0852932088000159,0.03879464694083522,0.08437955519908387,0.037699529308120816,0.08691037534121815,0.0360845635237062,0.08562964864220893,0.03933238683975468,-0.009851028889421798,0.01024601544488897,-0.0015062105168999196,-0.00036557938833892134,-0.001279232989270948,0.0012515871528633316,-2.9139546145889872e-05,-0.09550981707777662,0.09286933236977245,0.018520543559963715,0.0038235182284436994,0.1737011839582956,-0.044998348307352165,0.07706107631240924,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.2,target_delta_block_var,-0.003256107714037437,0.0023848203944383784,-0.003192617388325103,0.0048372479415858625,0.04769498410744553,0.028273421613213643,0.016641688531147024,0.02346479631092149,0.04573011561676223,0.03819890082806904,-0.004139592141838922,0.002431229415181466,-0.01119563439574862,0.013047642531911553,6.349032571233409e-05,0.05095109182148296,0.019897796245184462,0.04898622333079967,-0.0008834844278014847,-0.007939526681711183,0.10602948280451488,0.00809833270071747,0.027131328220051883,0.1920889188624977,-0.048139566388081145,0.06487551816624937,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.2,target_delta_block_entropy,-0.007490067992664118,0.006224197112689205,-0.007453323879701301,0.0061636066817956385,0.12079377280246598,0.029475709006372527,0.22811232602036666,0.03877832311591848,0.22815658417014556,0.04595350802700365,-0.007836659297436687,0.005957662059058086,-0.011989647607151311,0.01159363213153934,3.6744112962817065e-05,0.12828384079513008,0.23560239401303076,0.23564665216280967,-0.0003465913047725694,-0.004499579614487193,0.07715289422200629,0.007978661233249756,-0.0021246320251336608,0.15855954771806047,-0.052865631853164716,0.07685415482965244,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.2,target_future_density,-0.008437142906870632,0.007731730763338952,-0.008670646066621357,0.007508175779948609,-0.008469841661919109,0.007687131326853244,-0.00860254678280401,0.00735237397749816,-0.015432022272161871,0.009214197302625324,-0.008420911999026481,0.007306839264000865,-0.00572001963089952,0.004925878602495411,-0.0002335031597507243,-3.2698755048476275e-05,-0.00016540387593337764,-0.006994879365291239,1.6230907844151307e-05,0.0027171232759711124,0.09772794810479327,0.019489477028800294,-0.0002529248510110334,0.19194531655782626,-0.039190401153342935,0.07662426293865653,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.2,target_future_live_count,-0.008437142906870632,0.007731730763338952,-0.008670646066621357,0.007508175779948609,-0.008469841661919109,0.007687131326853244,-0.00860254678280401,0.00735237397749816,-0.015432022272161871,0.009214197302625324,-0.008420911999026481,0.007306839264000865,-0.0026921360222212478,0.0026441445618480123,-0.0002335031597507243,-3.2698755048476275e-05,-0.00016540387593337764,-0.006994879365291239,1.6230907844151307e-05,0.0057450068846493845,0.09772794810479327,0.019489477028800294,0.0004029703328821926,0.18074957504349176,-0.0436986851664232,0.08015708926412655,,,,,,,,,,,0.14382188024117012,2266.2209199851486,
condition,GoL,64.0,0.25,target_fine_net,-0.001557602005444836,0.005361879805144724,0.1948815822092254,0.06774491109281129,0.02096702044359533,0.01739959759150237,0.013442170586482916,0.02286096254521003,0.2719315148472973,0.08016130236043811,-0.004867848025646326,0.0076065755730247465,-0.004741983520984672,0.0039787768812481646,0.19643918421467024,0.022524622449040167,0.014999772591927751,0.27348911685274213,-0.0033102460202014904,-0.003184381515539836,-0.10969298175328004,0.042955903075303586,-0.19367939259938616,-0.03634372698910061,-0.022513569192670682,0.10020463755770613,,,,,,,,,,,0.1969093748992142,-417.78709884967765,
condition,GoL,64.0,0.25,target_delta_components,-0.001557602005444836,0.005361879805144724,0.1948815822092254,0.06774491109281129,0.02096702044359533,0.01739959759150237,0.013442170586482916,0.02286096254521003,0.2719315148472973,0.08016130236043811,-0.004867848025646326,0.0076065755730247465,-0.00801086075717361,0.00557510570630622,0.19643918421467024,0.022524622449040167,0.014999772591927751,0.27348911685274213,-0.0033102460202014904,-0.006453258751728775,-0.10969298175328004,0.042955903075303586,-0.1989104262939819,-0.023611535945217303,-0.013494702513274514,0.09725818329694683,,,,,,,,,,,0.1969093748992142,-417.78709884967765,
condition,GoL,64.0,0.25,target_delta_density,0.13374556599386905,0.034349115838880714,0.13089539537092326,0.031645590382434655,0.13253637389900508,0.03855906437300549,0.13376443312770298,0.035107415566213426,0.12440369426823794,0.03824004073233253,0.13135956954010647,0.033919065658288255,-0.011525834132807588,0.007999369188144005,-0.0028501706229457913,-0.0012091920948639756,1.8867133833921912e-05,-0.009341871725631112,-0.0023859964537625844,-0.14527140012667664,-0.059578073912337756,0.037380632995441726,-0.1527479326523471,0.035293549916519465,-0.01657646268100305,0.0922787797619745,,,,,,,,,,,0.1969093748992142,-417.78709884967765,
