scope,rule,L,rho,target,null_type,R2,R2_std,deltaR2,deltaR2_ci_low,deltaR2_ci_high
condition,GoL,64.0,0.35,target_delta_block_entropy,iso_shuffle,-0.021348797177125078,0.010624309756793756,-0.001192639985732092,,
condition,GoL,64.0,0.35,target_delta_block_entropy,target_shuffle,0.0005444041066910322,0.00642265986699795,0.02070056129808402,,
condition,GoL,64.0,0.35,target_future_density,iso_shuffle,-0.023378155890434106,0.021667843118935836,-0.00042627362807752534,,
condition,GoL,64.0,0.35,target_future_density,target_shuffle,-0.012469419719160912,0.01897902840900626,0.010482462543195669,,
condition,GoL,64.0,0.35,target_future_live_count,iso_shuffle,-0.023378155890434106,0.021667843118935836,-0.00042627362807752534,,
condition,GoL,64.0,0.35,target_future_live_count,target_shuffle,-0.008511907778629046,0.009292055415177768,0.014439974483727535,,
condition,GoL,128.0,0.2,target_fine_net,iso_shuffle,0.023487825756199277,0.036544515121935475,-0.005426328916092914,,
condition,GoL,128.0,0.2,target_fine_net,target_shuffle,-0.008546640506465008,0.006062513528710604,-0.0374607951787572,,
condition,GoL,128.0,0.2,target_delta_components,iso_shuffle,0.023487825756199277,0.036544515121935475,-0.005426328916092914,,
condition,GoL,128.0,0.2,target_delta_components,target_shuffle,-0.005471816277331731,0.003686886548536373,-0.03438597094962392,,
condition,GoL,128.0,0.2,target_delta_density,iso_shuffle,0.09114411815929077,0.03904247176485269,-0.0018118567659257678,,
condition,GoL,128.0,0.2,target_delta_density,target_shuffle,-0.015739882092283386,0.015910170751527543,-0.10869585701749993,,
condition,GoL,128.0,0.2,target_delta_block_var,iso_shuffle,-0.004911409974205005,0.0064071540852861895,-0.00011716692275460724,,
condition,GoL,128.0,0.2,target_delta_block_var,target_shuffle,-0.02096472370408482,0.012699584590374388,-0.01617048065263442,,
condition,GoL,128.0,0.2,target_delta_block_entropy,iso_shuffle,-0.002398465103585168,0.005028911601464123,-1.3068289286089201e-05,,
condition,GoL,128.0,0.2,target_delta_block_entropy,target_shuffle,-0.008737923756053579,0.010324128537955703,-0.0063525269417545,,
condition,GoL,128.0,0.2,target_future_density,iso_shuffle,-0.002436922789927065,0.0060001481662133385,0.0012810762165897274,,
condition,GoL,128.0,0.2,target_future_density,target_shuffle,-0.0031137367134824513,0.004347798120295634,0.0006042622930343411,,
condition,GoL,128.0,0.2,target_future_live_count,iso_shuffle,-0.002436922789927065,0.0060001481662133385,0.0012810762165897274,,
condition,GoL,128.0,0.2,target_future_live_count,target_shuffle,-0.012490242802100648,0.016856578558023364,-0.008772243795583856,,
condition,GoL,128.0,0.25,target_fine_net,iso_shuffle,-0.0005458490615623645,0.003742818204209262,0.001066198763594195,,
condition,GoL,128.0,0.25,target_fine_net,target_shuffle,-0.005751457675217208,0.007305655092167863,-0.004139409850060649,,
condition,GoL,128.0,0.25,target_delta_components,iso_shuffle,-0.0005458490615623645,0.003742818204209262,0.001066198763594195,,
condition,GoL,128.0,0.25,target_delta_components,target_shuffle,-0.016671652852960083,0.022335659073747426,-0.015059605027803524,,
condition,GoL,128.0,0.25,target_delta_density,iso_shuffle,0.13407414870708065,0.03188052914649174,-0.0016687404133812478,,
condition,GoL,128.0,0.25,target_delta_density,target_shuffle,-0.003720320292840218,0.004681094914569712,-0.13946320941330212,,
condition,GoL,128.0,0.25,target_delta_block_var,iso_shuffle,-0.002790266381895323,0.006084167952782264,-0.00012471838054637328,,
condition,GoL,128.0,0.25,target_delta_block_var,target_shuffle,-0.006938064516363718,0.01067909892868971,-0.004272516515014768,,
condition,GoL,128.0,0.25,target_delta_block_entropy,iso_shuffle,-0.0027906102594037695,0.0054670551101247186,-0.0002871824048428671,,
condition,GoL,128.0,0.25,target_delta_block_entropy,target_shuffle,-0.005562074278805351,0.004193352572966887,-0.003058646424244449,,
condition,GoL,128.0,0.25,target_future_density,iso_shuffle,-0.004389514278145201,0.003233519980675019,-0.00035231526968726445,,
condition,GoL,128.0,0.25,target_future_density,target_shuffle,-0.003427329644435639,0.0028063273194997504,0.0006098693640222974,,
condition,GoL,128.0,0.25,target_future_live_count,iso_shuffle,-0.004389514278145201,0.003233519980675019,-0.00035231526968726445,,
condition,GoL,128.0,0.25,target_future_live_count,target_shuffle,-0.003659792158559405,0.0033513586697574227,0.0003774068498985316,,
condition,GoL,128.0,0.3,target_fine_net,iso_shuffle,0.007445135168857519,0.01739044220885335,-0.001581101046402412,,
condition,GoL,128.0,0.3,target_fine_net,target_shuffle,-0.005211468915500816,0.0033527616745473625,-0.014237705130760748,,
condition,GoL,128.0,0.3,target_delta_components,iso_shuffle,0.007445135168857519,0.01739044220885335,-0.001581101046402412,,
condition,GoL,128.0,0.3,target_delta_components,target_shuffle,-0.0011983150710377366,0.0020307154712769417,-0.010224551286297668,,
condition,GoL,128.0,0.3,target_delta_density,iso_shuffle,0.1301576808697919,0.024083206234117274,-0.002759875904405268,,
condition,GoL,128.0,0.3,target_delta_density,target_shuffle,-0.010296661723379064,0.010118067994301547,-0.14321421849757623,,
condition,GoL,128.0,0.3,target_delta_block_var,iso_shuffle,-0.00996176104932014,0.010071503472976629,-0.0023854085121319596,,
condition,GoL,128.0,0.3,target_delta_block_var,target_shuffle,-0.0055929097349287195,0.007642877467181302,0.0019834428022594604,,
condition,GoL,128.0,0.3,target_delta_block_entropy,iso_shuffle,-0.0030338974046348667,0.011036665689026493,-0.0019108736372633662,,
condition,GoL,128.0,0.3,target_delta_block_entropy,target_shuffle,-0.002975671271150793,0.0034226151056960512,-0.0018526475037792924,,
condition,GoL,128.0,0.3,target_future_density,iso_shuffle,-0.005812356188526513,0.007572087324211213,-0.0026580242373234865,,
condition,GoL,128.0,0.3,target_future_density,target_shuffle,-0.004793913859300591,0.002956660556230642,-0.0016395819080975644,,
condition,GoL,128.0,0.3,target_future_live_count,iso_shuffle,-0.005812356188526513,0.007572087324211213,-0.0026580242373234865,,
condition,GoL,128.0,0.3,target_future_live_count,target_shuffle,-0.004587521985592979,0.006697310675064487,-0.0014331900343899527,,
condition,GoL,128.0,0.35,target_fine_net,iso_shuffle,0.02470423600259153,0.01897564780182032,0.0003383134241057746,,
condition,GoL,128.0,0.35,target_fine_net,target_shuffle,-0.02014597445098021,0.016635542000469097,-0.044511897029465966,,
condition,GoL,128.0,0.35,target_delta_components,iso_shuffle,0.02470423600259153,0.01897564780182032,0.0003383134241057746,,
condition,GoL,128.0,0.35,target_delta_components,target_shuffle,-0.001224069589300103,0.0019163444912354871,-0.025589992167785857,,
condition,GoL,128.0,0.35,target_delta_density,iso_shuffle,0.16664421733220156,0.06578158265421293,-0.00026784752177691495,,
condition,GoL,128.0,0.35,target_delta_density,target_shuffle,-0.0034830325972218914,0.008819617329436381,-0.17039509745120035,,
condition,GoL,128.0,0.35,target_delta_block_var,iso_shuffle,-0.017847738230102595,0.01387340755025164,-0.000884210660116215,,
condition,GoL,128.0,0.35,target_delta_block_var,target_shuffle,-2.360142649127095e-05,0.01230343958914426,0.01693992614349511,,
condition,GoL,128.0,0.35,target_delta_block_entropy,iso_shuffle,-0.006658687131612706,0.017692532668893708,-0.001044979027462878,,
condition,GoL,128.0,0.35,target_delta_block_entropy,target_shuffle,-0.007704138479992406,0.00959816890139396,-0.0020904303758425783,,
condition,GoL,128.0,0.35,target_future_density,iso_shuffle,-0.011739917505068287,0.022327492555275216,0.0003768761303813758,,
condition,GoL,128.0,0.35,target_future_density,target_shuffle,-0.016937627866840988,0.026487782734740294,-0.004820834231391326,,
condition,GoL,128.0,0.35,target_future_live_count,iso_shuffle,-0.011739917505068287,0.022327492555275216,0.0003768761303813758,,
condition,GoL,128.0,0.35,target_future_live_count,target_shuffle,-0.012831473146132578,0.022428291303943332,-0.0007146795106829154,,
condition,HighLife,64.0,0.2,target_fine_net,iso_shuffle,0.021478214447750908,0.03620179156433732,-0.0007209903356994798,,
condition,HighLife,64.0,0.2,target_fine_net,target_shuffle,-0.0034132223529342864,0.0038250955478218674,-0.025612427136384674,,
condition,HighLife,64.0,0.2,target_delta_components,iso_shuffle,0.021478214447750908,0.03620179156433732,-0.0007209903356994798,,
condition,HighLife,64.0,0.2,target_delta_components,target_shuffle,-0.0038354737822681615,0.005564915874212239,-0.02603467856571855,,
condition,HighLife,64.0,0.2,target_delta_density,iso_shuffle,0.061066781026535046,0.04528619362457984,-0.002170232789749142,,
condition,HighLife,64.0,0.2,target_delta_density,target_shuffle,-0.008387996618702997,0.006304581522976068,-0.07162501043498719,,
condition,HighLife,64.0,0.2,target_delta_block_var,iso_shuffle,-0.005710375534453282,0.004845411022993194,-0.0018678520039430153,,
condition,HighLife,64.0,0.2,target_delta_block_var,target_shuffle,-0.006423182050083675,0.0105021934480684,-0.0025806585195734086,,
condition,HighLife,64.0,0.2,target_delta_block_entropy,iso_shuffle,-0.009783161881828883,0.007331492557540891,0.0002151300345414331,,
condition,HighLife,64.0,0.2,target_delta_block_entropy,target_shuffle,-0.0021035758082840195,0.00559037936188913,0.007894716108086296,,
condition,HighLife,64.0,0.2,target_future_density,iso_shuffle,-0.007315074332424953,0.011090304199002799,-0.001046496772599959,,
condition,HighLife,64.0,0.2,target_future_density,target_shuffle,-0.0008934150009942465,0.0017613280937146428,0.005375162558830748,,
condition,HighLife,64.0,0.2,target_future_live_count,iso_shuffle,-0.007315074332424953,0.011090304199002799,-0.001046496772599959,,
condition,HighLife,64.0,0.2,target_future_live_count,target_shuffle,-0.007694584574684127,0.009423523896625088,-0.0014260070148591321,,
condition,HighLife,64.0,0.25,target_fine_net,iso_shuffle,-0.0054753986722443585,0.006224075163400491,-0.0002781476177879053,,
condition,HighLife,64.0,0.25,target_fine_net,target_shuffle,-0.008080043102404844,0.0038848232329937774,-0.0028827920479483904,,
condition,HighLife,64.0,0.25,target_delta_components,iso_shuffle,-0.0054753986722443585,0.006224075163400491,-0.0002781476177879053,,
condition,HighLife,64.0,0.25,target_delta_components,target_shuffle,-0.006062214152878553,0.006604098875843719,-0.0008649630984221002,,
condition,HighLife,64.0,0.25,target_delta_density,iso_shuffle,0.07347306590797868,0.02974823612155399,-0.0015407840880563989,,
condition,HighLife,64.0,0.25,target_delta_density,target_shuffle,-0.009242184296535005,0.009268200611572868,-0.08425603429257009,,
condition,HighLife,64.0,0.25,target_delta_block_var,iso_shuffle,-0.010378803038209927,0.006550327631666971,-0.00013413416452490168,,
condition,HighLife,64.0,0.25,target_delta_block_var,target_shuffle,-0.002794098094537967,0.003848426559821186,0.007450570779147059,,
condition,HighLife,64.0,0.25,target_delta_block_entropy,iso_shuffle,-0.007243123813728225,0.005557745562743483,-0.000346084072023212,,
condition,HighLife,64.0,0.25,target_delta_block_entropy,target_shuffle,-0.0037872953599320082,0.002668501583847597,0.003109744381773005,,
condition,HighLife,64.0,0.25,target_future_density,iso_shuffle,-0.0032502692462389017,0.0037414252508792952,-0.0006878426271729634,,
condition,HighLife,64.0,0.25,target_future_density,target_shuffle,-0.00993308085228708,0.009591096695202394,-0.007370654233221141,,
condition,HighLife,64.0,0.25,target_future_live_count,iso_shuffle,-0.0032502692462389017,0.0037414252508792952,-0.0006878426271729634,,
condition,HighLife,64.0,0.25,target_future_live_count,target_shuffle,-0.015355812115239908,0.013712021478989622,-0.012793385496173969,,
condition,HighLife,64.0,0.3,target_fine_net,iso_shuffle,0.0007986210551492289,0.005713602460001676,-0.0006302941476889147,,
condition,HighLife,64.0,0.3,target_fine_net,target_shuffle,-0.0025333086650407566,0.004448350918008664,-0.0039622238678789,,
condition,HighLife,64.0,0.3,target_delta_components,iso_shuffle,0.0007986210551492289,0.005713602460001676,-0.0006302941476889147,,
condition,HighLife,64.0,0.3,target_delta_components,target_shuffle,-0.0024467007651314487,0.005122848534973579,-0.0038756159679695923,,
condition,HighLife,64.0,0.3,target_delta_density,iso_shuffle,0.07794235034290124,0.01581664288756983,-0.001012040653679172,,
condition,HighLife,64.0,0.3,target_delta_density,target_shuffle,-0.004710307074397324,0.004802856520491359,-0.08366469807097773,,
condition,HighLife,64.0,0.3,target_delta_block_var,iso_shuffle,0.001995105566331401,0.003808704594822341,0.0038974717508072354,,
condition,HighLife,64.0,0.3,target_delta_block_var,target_shuffle,-0.004418734892022958,0.0035721750873537825,-0.0025163687075471235,,
condition,HighLife,64.0,0.3,target_delta_block_entropy,iso_shuffle,-0.00034039665469927095,0.003289244959349392,0.00048111346345420803,,
condition,HighLife,64.0,0.3,target_delta_block_entropy,target_shuffle,0.0010531020564221282,0.003786758436281822,0.0018746121745756073,,
condition,HighLife,64.0,0.3,target_future_density,iso_shuffle,-0.0017727771793167647,0.006478241258140571,0.0008503748378139385,,
condition,HighLife,64.0,0.3,target_future_density,target_shuffle,0.0006456254204459721,0.003978183418374998,0.0032687774375766755,,
condition,HighLife,64.0,0.3,target_future_live_count,iso_shuffle,-0.0017727771793167647,0.006478241258140571,0.0008503748378139385,,
condition,HighLife,64.0,0.3,target_future_live_count,target_shuffle,-0.01252985741593995,0.005534728368044654,-0.009906705398809246,,
condition,HighLife,64.0,0.35,target_fine_net,iso_shuffle,0.055805212910383206,0.03768642404302715,-0.0009359022543852236,,
condition,HighLife,64.0,0.35,target_fine_net,target_shuffle,-0.005395617000266917,0.0021032810601448195,-0.06213673216503535,,
condition,HighLife,64.0,0.35,target_delta_components,iso_shuffle,0.055805212910383206,0.03768642404302715,-0.0009359022543852236,,
condition,HighLife,64.0,0.35,target_delta_components,target_shuffle,-0.010467935563898578,0.008201997568534826,-0.06720905072866701,,
condition,HighLife,64.0,0.35,target_delta_density,iso_shuffle,0.13035713416911784,0.06424490708185986,-0.0008063078359953624,,
condition,HighLife,64.0,0.35,target_delta_density,target_shuffle,-0.004421781856389728,0.009839366402467494,-0.13558522386150293,,
condition,HighLife,64.0,0.35,target_delta_block_var,iso_shuffle,-0.0070508659144153055,0.010101865055911968,-0.00019395709865588362,,
condition,HighLife,64.0,0.35,target_delta_block_var,target_shuffle,-0.009748018986180584,0.0036965898028920607,-0.002891110170421162,,
condition,HighLife,64.0,0.35,target_delta_block_entropy,iso_shuffle,-0.004587081098400803,0.0061663182519065465,7.969174294948297e-05,,
