scope,rule,horizon,model,n_conditions,mean_R2,min_R2,max_R2,mean_corr,mean_shuffle_R2,frac_R2_positive
rule_horizon,GoL,1,class_counts,8,0.3879906347332099,0.32219422700995237,0.4422854631846729,0.6226044307653362,0.01095745246149378,1.0
rule_horizon,GoL,1,iso_count,8,0.3668944890322055,0.3076918015608221,0.4176771090501813,0.6050879826236659,0.00040926437508460867,1.0
rule_horizon,GoL,1,iso_plus_class_counts,8,0.38751005796802845,0.32297323745624973,0.4415234823059774,0.6225513920608597,0.011002607300653916,1.0
rule_horizon,GoL,5,class_counts,8,0.3049924863495723,0.20868107311665962,0.39485345989695586,0.5506495039148933,0.012550582817434153,1.0
rule_horizon,GoL,5,iso_count,8,0.2872245208551569,0.18270906596578607,0.35864864450720857,0.5337068641131895,0.0027183789862290503,1.0
rule_horizon,GoL,5,iso_plus_class_counts,8,0.3045043257809378,0.2091676746758373,0.3941707725206771,0.5505811275773245,0.012803852248979952,1.0
rule_horizon,GoL,10,class_counts,8,0.28263075532939474,0.19068531141955236,0.3484044841790265,0.5301342655205386,0.012241582606563273,1.0
rule_horizon,GoL,10,iso_count,8,0.2663400624933039,0.1784698818419005,0.3251881014115644,0.5140653811832524,0.0007524098428081799,1.0
rule_horizon,GoL,10,iso_plus_class_counts,8,0.2823450515442084,0.18804070137700224,0.3478102842464157,0.5300175334554663,0.012329488411262288,1.0
rule_horizon,GoL,25,class_counts,8,0.24363627095633078,0.1702523796931693,0.29959214109977983,0.4923380245548942,0.008882125905896196,1.0
rule_horizon,GoL,25,iso_count,8,0.22802203005576568,0.16014246181216096,0.27598241920612643,0.47540396632626647,0.001295065983375726,1.0
rule_horizon,GoL,25,iso_plus_class_counts,8,0.24287503667855642,0.16782953725726246,0.29896945057037694,0.4920870562198304,0.008995119302275409,1.0
rule_horizon,GoL,50,class_counts,8,0.2174181389641174,0.15393693157213517,0.25993301684356085,0.46567305790356517,0.011273708480139852,1.0
rule_horizon,GoL,50,iso_count,8,0.2054519805679925,0.14360236400809356,0.24323371259024906,0.4514274333403513,0.000903567855294482,1.0
rule_horizon,GoL,50,iso_plus_class_counts,8,0.21671212717032107,0.15206222945325276,0.26089480948728594,0.4654177707862478,0.011363328382189147,1.0
rule_horizon,GoL,100,class_counts,8,0.2088141031158688,0.14340106521318774,0.27384443442303175,0.4562344699855375,0.011422209821556423,1.0
rule_horizon,GoL,100,iso_count,8,0.19606378617746223,0.13900620140597386,0.2545197284767179,0.44066780042949794,0.0003725622015147978,1.0
rule_horizon,GoL,100,iso_plus_class_counts,8,0.20809045968451592,0.1456546592369069,0.273275728127488,0.45606117332080265,0.011462445153525055,1.0
rule_horizon,GoL,200,class_counts,8,0.20269934478137835,0.13849661956769932,0.26239271036853185,0.4499562214006583,0.011847166801670653,1.0
rule_horizon,GoL,200,iso_count,8,0.1874964420465145,0.13626103723560934,0.23663289448906266,0.43113963146076145,0.0007097077492206755,1.0
