scope,condition_id,rule,L,rho,horizon,model,n,R2,corr,shuffle_R2,shuffle_corr,features
condition,GoL_L128_rho0.20,GoL,128,0.2,200,iso_plus_class_counts,1000,0.1405780991331783,0.37739906921622174,0.01207451546701388,0.12273331784602082,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,1,iso_count,1000,0.3997021189479383,0.6322206447232884,2.4233836703912992e-05,0.005684345368814289,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,1,class_counts,1000,0.4071244254702291,0.6382727889169328,0.00416222967196711,0.07493234962988149,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,1,iso_plus_class_counts,1000,0.406536619189397,0.6382372566851444,0.004161947365895591,0.07489860813391484,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,5,iso_count,1000,0.29920039965586354,0.546992702846083,0.002708172734174452,0.05376817739009897,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,5,class_counts,1000,0.3025556118087894,0.5502471095395262,0.011449468366534155,0.12043583848909449,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,5,iso_plus_class_counts,1000,0.3020837456881684,0.5502023096911204,0.011624685862375084,0.11945472712373768,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,10,iso_count,1000,0.24753312169233377,0.4975275192421801,0.00015411645579876954,0.014334873830339157,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,10,class_counts,1000,0.25809813933444137,0.5094608793087763,0.013991625385986972,0.13626267245519602,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,10,iso_plus_class_counts,1000,0.25898701220911313,0.5094774013524608,0.014000488887984441,0.13613657651489142,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,25,iso_count,1000,0.21296248905793203,0.46148278351219846,0.001053744031092374,0.037483223466723926,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,25,class_counts,1000,0.21763475489181694,0.4678757368843715,0.010812479031691469,0.12053880491249376,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,25,iso_plus_class_counts,1000,0.21506251089648987,0.4675153500289149,0.01089751467112432,0.11966759643606917,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,50,iso_count,1000,0.2064761944292448,0.4544006458691978,0.00016272255951910175,0.014729677956161358,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,50,class_counts,1000,0.21591370190993497,0.46599414517220433,0.014072169436943893,0.1376190370897478,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,50,iso_plus_class_counts,1000,0.21314466231779505,0.4654687348431314,0.014070867136576348,0.1374956292989881,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,100,iso_count,1000,0.19640693640813545,0.4431822491308174,0.0011257510674781424,0.03874275962427057,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,100,class_counts,1000,0.1992596206364854,0.44761078278150873,0.015457214067629788,0.13977794936424442,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,100,iso_plus_class_counts,1000,0.19703245190036645,0.44728421952027325,0.015559482292183846,0.13933768640027852,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,200,iso_count,1000,0.176144032871971,0.41969898039746883,0.00015088823658504502,0.014183945693873157,iso_count
condition,GoL_L128_rho0.25,GoL,128,0.25,200,class_counts,1000,0.1825345674714549,0.42834243017228424,0.010752560000654054,0.1243591627849012,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.25,GoL,128,0.25,200,iso_plus_class_counts,1000,0.18057269024713174,0.428132028969095,0.010768812482262469,0.12415260776580217,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,1,iso_count,1000,0.3361635861977903,0.5797967572963184,0.0005789413102817997,0.027783479750432313,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,1,class_counts,1000,0.3601574719273254,0.6003592237034945,0.010436933851848407,0.11688995217006852,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,1,iso_plus_class_counts,1000,0.35955202433530653,0.6003163931161617,0.01050909819442336,0.11654620583829974,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,5,iso_count,1000,0.29227338171478334,0.5406236997523713,0.00029533160114159074,0.019843776560649284,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,5,class_counts,1000,0.3091010582331264,0.5561749540506029,0.004521781478356468,0.0763188640547269,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,5,iso_plus_class_counts,1000,0.30861053572844543,0.5561420328078267,0.004553985146416029,0.07607368393096867,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,10,iso_count,1000,0.27962550823136456,0.5287968278605685,0.0017214380361016968,0.04790877492487534,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,10,class_counts,1000,0.3068023698964766,0.5540933091300111,0.0060233619985262665,0.08824012820924762,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,10,iso_plus_class_counts,1000,0.30630696749661,0.5540669162004768,0.00623271881236187,0.08725178451278755,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,25,iso_count,1000,0.27246620176382264,0.5219834900806335,0.0016789731994212298,0.04731417263951382,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,25,class_counts,1000,0.29959214109977983,0.5475708231560527,0.009176794801331156,0.10947941404962147,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,25,iso_plus_class_counts,1000,0.29896945057037694,0.5474718655345981,0.009403332480978133,0.10861975118714813,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,50,iso_count,1000,0.23003595675649857,0.4796249967142443,0.002805724208408966,0.05472800589933455,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,50,class_counts,1000,0.24561247137621744,0.4970398453217029,0.017488426767486187,0.15255835166424703,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,50,iso_plus_class_counts,1000,0.24650946850087552,0.4970512862238423,0.017743669431190212,0.15136111256764415,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,100,iso_count,1000,0.22688518850765593,0.4763289955079818,3.920897817644153e-06,0.002286452220567847,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,100,class_counts,1000,0.24662101301031825,0.49806255810488487,0.013481849329575635,0.1316329214440007,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,100,iso_plus_class_counts,1000,0.24748609407256306,0.4980564664255627,0.01349713008436415,0.1316985644654869,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,200,iso_count,1000,0.21784807888800906,0.4667462245159248,0.000488428807338348,0.025519373224756545,iso_count
condition,GoL_L128_rho0.30,GoL,128,0.3,200,class_counts,1000,0.23640674303286036,0.4876816261994265,0.01351568944717041,0.13267417529069736,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.30,GoL,128,0.3,200,iso_plus_class_counts,1000,0.2372771814040312,0.4876845703655206,0.013579189769042155,0.13242194334711888,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,1,iso_count,1000,0.357774192174491,0.5981429012661461,0.00033705617533574816,0.021199250783482435,iso_count
condition,GoL_L128_rho0.35,GoL,128,0.35,1,class_counts,1000,0.39382932904824197,0.6277869776930557,0.009923006473234963,0.11507443139893898,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,1,iso_plus_class_counts,1000,0.3931637741950066,0.6277412489481492,0.00994451021106002,0.11475120074364271,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,5,iso_count,1000,0.31688479801905145,0.5629257960127116,0.000690089371048419,0.03033346603008125,iso_count
condition,GoL_L128_rho0.35,GoL,128,0.35,5,class_counts,1000,0.3474764885449013,0.5896768932989939,0.00888919508229491,0.10855931464722696,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,5,iso_plus_class_counts,1000,0.34694143144037914,0.5896558344284984,0.008983160597988094,0.10810834458354555,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,10,iso_count,1000,0.314890066009501,0.5611512413703252,0.003134799811709277,0.05784849178022144,iso_count
condition,GoL_L128_rho0.35,GoL,128,0.35,10,class_counts,1000,0.3484044841790265,0.5904662974500614,0.012606034168592406,0.12895202974871528,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,10,iso_plus_class_counts,1000,0.3478102842464157,0.590412261111896,0.012901952151987084,0.12760774751400702,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,25,iso_count,1000,0.23602640706071276,0.4858299050582626,7.20965010636565e-06,0.0031004623539730852,iso_count
condition,GoL_L128_rho0.35,GoL,128,0.35,25,class_counts,1000,0.25706042814381547,0.5084443120339852,0.00402165153056977,0.07201190857586177,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,25,iso_plus_class_counts,1000,0.2579885354236484,0.5084847882904497,0.004022838221927172,0.07200708603687728,"iso_count,class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
condition,GoL_L128_rho0.35,GoL,128,0.35,50,iso_count,1000,0.23500886262899034,0.48478153195450313,0.0014178002942721868,0.04347873494437014,iso_count
