family,rank_r,task,max_score,common_projection_score,regret,relative_regret
horizon_fine_net,1,fine_net_k1,0.3755208291502545,0.375518252210699,2.5769395554653407e-06,6.862307906089591e-06
horizon_fine_net,1,fine_net_k5,0.289716581262688,0.28922722952533947,0.0004893517373485423,0.0016890705221180857
horizon_fine_net,1,fine_net_k10,0.2689286656039097,0.26884895309467766,7.971250923205497e-05,0.00029640763294389147
horizon_fine_net,1,fine_net_k25,0.24281925154215134,0.2428086600361157,1.0591506035634302e-05,4.361888921082445e-05
horizon_fine_net,1,fine_net_k50,0.2199593401265225,0.2197797303684407,0.00017960975808178903,0.0008165589053723295
horizon_fine_net,1,fine_net_k100,0.19955030231309992,0.19932331069105205,0.00022699162204786738,0.001137515800792723
horizon_fine_net,1,fine_net_k200,0.18956637474682564,0.18947324108310667,9.313366371896392e-05,0.0004912984372582861
horizon_fine_net,2,fine_net_k1,0.3755208291502545,0.37551866274090406,2.166409350412568e-06,5.769079054117742e-06
horizon_fine_net,2,fine_net_k5,0.289716581262688,0.2897131167816283,3.4644810597006526e-06,1.1958173202946802e-05
horizon_fine_net,2,fine_net_k10,0.2689286656039097,0.2689035316810855,2.5133922824216448e-05,9.345944121809937e-05
horizon_fine_net,2,fine_net_k25,0.24281925154215134,0.24281252726737498,6.724274776354067e-06,2.7692510914512637e-05
horizon_fine_net,2,fine_net_k50,0.2199593401265225,0.2199499646977012,9.375428821289944e-06,4.2623463098383414e-05
horizon_fine_net,2,fine_net_k100,0.19955030231309992,0.1995282203566422,2.2081956457725704e-05,0.00011065859680840095
horizon_fine_net,2,fine_net_k200,0.18956637474682564,0.18954761867222372,1.875607460191664e-05,9.894199125278423e-05
horizon_fine_net,3,fine_net_k1,0.3755208291502545,0.3755208291502545,0.0,0.0
horizon_fine_net,3,fine_net_k5,0.289716581262688,0.2897165812626881,-1.1102230246251565e-16,-3.8321003906756016e-16
horizon_fine_net,3,fine_net_k10,0.2689286656039097,0.2689286656039099,-1.6653345369377348e-16,-6.192476850984964e-16
horizon_fine_net,3,fine_net_k25,0.24281925154215134,0.2428192515421514,-5.551115123125783e-17,-2.286109970928745e-16
horizon_fine_net,3,fine_net_k50,0.2199593401265225,0.2199593401265226,-1.1102230246251565e-16,-5.047401140055279e-16
horizon_fine_net,3,fine_net_k100,0.19955030231309992,0.19955030231309995,-2.7755575615628914e-17,-1.3909062166275544e-16
horizon_fine_net,3,fine_net_k200,0.18956637474682564,0.18956637474682567,-2.7755575615628914e-17,-1.46416133336179e-16
