family,rank_r,task,max_score,common_projection_score,regret,relative_regret
selection_multi_target,1,target_fine_net,0.2989989242603189,0.2936277827279639,0.005371141532354962,0.017963748678514586
selection_multi_target,1,target_delta_components,0.2989989242603189,0.2936277827279639,0.005371141532354962,0.017963748678514586
selection_multi_target,1,target_delta_density,4.806592634821053e-05,4.233657467702439e-06,4.383226888050809e-05,0.9119178806870508
selection_multi_target,1,target_delta_block_var,0.07089482333415176,0.0030506140056674397,0.06784420932848431,0.9569698610152982
selection_multi_target,1,target_delta_block_entropy,0.27631511040242196,0.01785749451306623,0.25845761588935573,0.9353727178343737
selection_multi_target,1,target_future_density,4.806592634821048e-05,4.2336574677025696e-06,4.3832268880507916e-05,0.911917880687048
selection_multi_target,1,target_future_live_count,0.00015349063455022342,8.942839962129245e-05,6.406223492893097e-05,0.41736874291893683
selection_multi_target,2,target_fine_net,0.2989989242603189,0.2989988367866628,8.747365609629298e-08,2.9255508622124626e-07
selection_multi_target,2,target_delta_components,0.2989989242603189,0.2989988367866628,8.747365609629298e-08,2.9255508622124626e-07
selection_multi_target,2,target_delta_density,4.806592634821053e-05,2.834892990134667e-05,1.971699644686386e-05,0.4102065002009036
selection_multi_target,2,target_delta_block_var,0.07089482333415176,0.05018176798885975,0.020713055345292004,0.29216597689294793
selection_multi_target,2,target_delta_block_entropy,0.27631511040242196,0.27248085657923,0.0038342538231919687,0.013876381267098168
selection_multi_target,2,target_future_density,4.806592634821048e-05,2.8348929901346643e-05,1.971699644686384e-05,0.41020650020090355
selection_multi_target,2,target_future_live_count,0.00015349063455022342,9.256918731489656e-05,6.0921447235326865e-05,0.39690635017055614
selection_multi_target,3,target_fine_net,0.2989989242603189,0.29899891972810533,4.53221354890232e-09,1.515795937593615e-08
selection_multi_target,3,target_delta_components,0.2989989242603189,0.29899891972810533,4.53221354890232e-09,1.515795937593615e-08
selection_multi_target,3,target_delta_density,4.806592634821053e-05,4.697363470755503e-05,1.0922916406555026e-06,0.02272481674982829
selection_multi_target,3,target_delta_block_var,0.07089482333415176,0.07089481629053741,7.043614344559579e-09,9.935301342702124e-08
selection_multi_target,3,target_delta_block_entropy,0.27631511040242196,0.2763151103391561,6.326583701365962e-11,2.2896263942505266e-10
selection_multi_target,3,target_future_density,4.806592634821048e-05,4.697363470755502e-05,1.092291640655462e-06,0.022724816749827466
selection_multi_target,3,target_future_live_count,0.00015349063455022342,9.277228451660938e-05,6.071835003361404e-05,0.3955831614953051
selection_multi_target,4,target_fine_net,0.2989989242603189,0.2989989242603189,0.0,0.0
selection_multi_target,4,target_delta_components,0.2989989242603189,0.2989989242603189,0.0,0.0
selection_multi_target,4,target_delta_density,4.806592634821053e-05,4.8065926348210557e-05,-2.710505431213761e-20,-5.639129416643928e-16
selection_multi_target,4,target_delta_block_var,0.07089482333415176,0.07089482333415179,-2.7755575615628914e-17,-3.9150355796299765e-16
selection_multi_target,4,target_delta_block_entropy,0.27631511040242196,0.27631511040242207,-1.1102230246251565e-16,-4.0179598669303506e-16
selection_multi_target,4,target_future_density,4.806592634821048e-05,4.806592634821051e-05,-2.710505431213761e-20,-5.639129416643934e-16
selection_multi_target,4,target_future_live_count,0.00015349063455022342,0.00015349063455022342,0.0,0.0
horizon_fine_net,1,fine_net_k1,0.3755208291502545,0.375518252210699,2.5769395554653407e-06,6.862307906089591e-06
horizon_fine_net,1,fine_net_k5,0.289716581262688,0.28922722952533947,0.0004893517373485423,0.0016890705221180857
horizon_fine_net,1,fine_net_k10,0.2689286656039097,0.26884895309467766,7.971250923205497e-05,0.00029640763294389147
horizon_fine_net,1,fine_net_k25,0.24281925154215134,0.2428086600361157,1.0591506035634302e-05,4.361888921082445e-05
horizon_fine_net,1,fine_net_k50,0.2199593401265225,0.2197797303684407,0.00017960975808178903,0.0008165589053723295
horizon_fine_net,1,fine_net_k100,0.19955030231309992,0.19932331069105205,0.00022699162204786738,0.001137515800792723
horizon_fine_net,1,fine_net_k200,0.18956637474682564,0.18947324108310667,9.313366371896392e-05,0.0004912984372582861
horizon_fine_net,2,fine_net_k1,0.3755208291502545,0.37551866274090406,2.166409350412568e-06,5.769079054117742e-06
horizon_fine_net,2,fine_net_k5,0.289716581262688,0.2897131167816283,3.4644810597006526e-06,1.1958173202946802e-05
horizon_fine_net,2,fine_net_k10,0.2689286656039097,0.2689035316810855,2.5133922824216448e-05,9.345944121809937e-05
horizon_fine_net,2,fine_net_k25,0.24281925154215134,0.24281252726737498,6.724274776354067e-06,2.7692510914512637e-05
horizon_fine_net,2,fine_net_k50,0.2199593401265225,0.2199499646977012,9.375428821289944e-06,4.2623463098383414e-05
horizon_fine_net,2,fine_net_k100,0.19955030231309992,0.1995282203566422,2.2081956457725704e-05,0.00011065859680840095
horizon_fine_net,2,fine_net_k200,0.18956637474682564,0.18954761867222372,1.875607460191664e-05,9.894199125278423e-05
horizon_fine_net,3,fine_net_k1,0.3755208291502545,0.3755208291502545,0.0,0.0
horizon_fine_net,3,fine_net_k5,0.289716581262688,0.2897165812626881,-1.1102230246251565e-16,-3.8321003906756016e-16
horizon_fine_net,3,fine_net_k10,0.2689286656039097,0.2689286656039099,-1.6653345369377348e-16,-6.192476850984964e-16
horizon_fine_net,3,fine_net_k25,0.24281925154215134,0.2428192515421514,-5.551115123125783e-17,-2.286109970928745e-16
horizon_fine_net,3,fine_net_k50,0.2199593401265225,0.2199593401265226,-1.1102230246251565e-16,-5.047401140055279e-16
horizon_fine_net,3,fine_net_k100,0.19955030231309992,0.19955030231309995,-2.7755575615628914e-17,-1.3909062166275544e-16
horizon_fine_net,3,fine_net_k200,0.18956637474682564,0.18956637474682567,-2.7755575615628914e-17,-1.46416133336179e-16
