family,rank_r,task,max_score,common_projection_score,regret,relative_regret
selection_multi_target,1,target_fine_net,0.2989989242603189,0.2936277827279639,0.005371141532354962,0.017963748678514586
selection_multi_target,1,target_delta_components,0.2989989242603189,0.2936277827279639,0.005371141532354962,0.017963748678514586
selection_multi_target,1,target_delta_density,4.806592634821053e-05,4.233657467702439e-06,4.383226888050809e-05,0.9119178806870508
selection_multi_target,1,target_delta_block_var,0.07089482333415176,0.0030506140056674397,0.06784420932848431,0.9569698610152982
selection_multi_target,1,target_delta_block_entropy,0.27631511040242196,0.01785749451306623,0.25845761588935573,0.9353727178343737
selection_multi_target,1,target_future_density,4.806592634821048e-05,4.2336574677025696e-06,4.3832268880507916e-05,0.911917880687048
selection_multi_target,1,target_future_live_count,0.00015349063455022342,8.942839962129245e-05,6.406223492893097e-05,0.41736874291893683
selection_multi_target,2,target_fine_net,0.2989989242603189,0.2989988367866628,8.747365609629298e-08,2.9255508622124626e-07
selection_multi_target,2,target_delta_components,0.2989989242603189,0.2989988367866628,8.747365609629298e-08,2.9255508622124626e-07
selection_multi_target,2,target_delta_density,4.806592634821053e-05,2.834892990134667e-05,1.971699644686386e-05,0.4102065002009036
selection_multi_target,2,target_delta_block_var,0.07089482333415176,0.05018176798885975,0.020713055345292004,0.29216597689294793
selection_multi_target,2,target_delta_block_entropy,0.27631511040242196,0.27248085657923,0.0038342538231919687,0.013876381267098168
selection_multi_target,2,target_future_density,4.806592634821048e-05,2.8348929901346643e-05,1.971699644686384e-05,0.41020650020090355
selection_multi_target,2,target_future_live_count,0.00015349063455022342,9.256918731489656e-05,6.0921447235326865e-05,0.39690635017055614
selection_multi_target,3,target_fine_net,0.2989989242603189,0.29899891972810533,4.53221354890232e-09,1.515795937593615e-08
selection_multi_target,3,target_delta_components,0.2989989242603189,0.29899891972810533,4.53221354890232e-09,1.515795937593615e-08
selection_multi_target,3,target_delta_density,4.806592634821053e-05,4.697363470755503e-05,1.0922916406555026e-06,0.02272481674982829
selection_multi_target,3,target_delta_block_var,0.07089482333415176,0.07089481629053741,7.043614344559579e-09,9.935301342702124e-08
selection_multi_target,3,target_delta_block_entropy,0.27631511040242196,0.2763151103391561,6.326583701365962e-11,2.2896263942505266e-10
selection_multi_target,3,target_future_density,4.806592634821048e-05,4.697363470755502e-05,1.092291640655462e-06,0.022724816749827466
selection_multi_target,3,target_future_live_count,0.00015349063455022342,9.277228451660938e-05,6.071835003361404e-05,0.3955831614953051
selection_multi_target,4,target_fine_net,0.2989989242603189,0.2989989242603189,0.0,0.0
selection_multi_target,4,target_delta_components,0.2989989242603189,0.2989989242603189,0.0,0.0
selection_multi_target,4,target_delta_density,4.806592634821053e-05,4.8065926348210557e-05,-2.710505431213761e-20,-5.639129416643928e-16
selection_multi_target,4,target_delta_block_var,0.07089482333415176,0.07089482333415179,-2.7755575615628914e-17,-3.9150355796299765e-16
selection_multi_target,4,target_delta_block_entropy,0.27631511040242196,0.27631511040242207,-1.1102230246251565e-16,-4.0179598669303506e-16
selection_multi_target,4,target_future_density,4.806592634821048e-05,4.806592634821051e-05,-2.710505431213761e-20,-5.639129416643934e-16
selection_multi_target,4,target_future_live_count,0.00015349063455022342,0.00015349063455022342,0.0,0.0
