family,task,target_col,n,max_trace_score_rank1,best_interpreting_feature,corr_iso_embedded,corr_block_var,corr_block_entropy,corr_perimeter_count
selection_multi_target,target_fine_net,target_fine_net,16000,0.2989989242603189,perimeter_count,-0.8125579517438356,0.1334988841326666,0.12917460888980054,-0.9902076539741151
selection_multi_target,target_delta_components,target_delta_components,16000,0.2989989242603189,perimeter_count,-0.8125579517438356,0.1334988841326666,0.12917460888980054,-0.9902076539741151
selection_multi_target,target_delta_density,target_delta_density,16000,4.806592634821053e-05,block_var,-0.19216632880227766,0.983969936701714,0.689443906600408,-0.20240844465740293
selection_multi_target,target_delta_block_var,target_delta_block_var,16000,0.07089482333415176,block_var,0.019415092701519275,-0.9988738659898097,-0.7773143369820861,0.11953142472671974
selection_multi_target,target_delta_block_entropy,target_delta_block_entropy,16000,0.27631511040242196,block_entropy,0.05776390313100595,-0.7632720443871335,-0.9999375562053953,0.12797377432807952
selection_multi_target,target_future_density,target_future_density,16000,4.806592634821048e-05,block_var,-0.19216632880228085,0.9839699367017137,0.6894439066004072,-0.20240844465740795
selection_multi_target,target_future_live_count,target_future_live_count,16000,0.00015349063455022342,perimeter_count,0.2685561269859888,-0.03501678664388959,-0.06319925940318585,0.8520836577492183
horizon_fine_net,fine_net_k1,fine_net_k1,16000,0.3755208291502545,iso_embedded,-0.9970403731654711,0.1406720684870326,0.12647192479653874,
horizon_fine_net,fine_net_k5,fine_net_k5,16000,0.289716581262688,iso_embedded,-0.9988782836469134,0.10714448259409573,0.08434489793548072,
horizon_fine_net,fine_net_k10,fine_net_k10,16000,0.2689286656039097,iso_embedded,-0.9981990129353288,0.12392983682820927,0.1128931903946345,
horizon_fine_net,fine_net_k25,fine_net_k25,16000,0.24281925154215134,iso_embedded,-0.997099868822322,0.14003870845131322,0.12014201014257903,
horizon_fine_net,fine_net_k50,fine_net_k50,16000,0.2199593401265225,iso_embedded,-0.9944876442937397,0.1680552699518779,0.15086630377653423,
horizon_fine_net,fine_net_k100,fine_net_k100,16000,0.19955030231309992,iso_embedded,-0.9946332253323917,0.16341286848302247,0.15811962407773908,
horizon_fine_net,fine_net_k200,fine_net_k200,16000,0.18956637474682564,iso_embedded,-0.9950801332639109,0.16282044550376923,0.14244465993654984,
