,fine_net_k1,fine_net_k5,fine_net_k10,fine_net_k25,fine_net_k50,fine_net_k100,fine_net_k200
fine_net_k1,0.9999999996736281,0.9991005543175678,0.9998566790708526,0.999957946564766,0.9996016134942393,0.9994864222859156,0.999747709139453
fine_net_k5,0.9991005543175678,0.9999999996284277,0.9995569970112977,0.9993149466906643,0.9976303783188726,0.9972379825114066,0.9981328448297551
fine_net_k10,0.9998566790708526,0.9995569970112977,0.999999999614334,0.999835957421998,0.9989840479350223,0.9989281382519095,0.9992277957489554
fine_net_k25,0.999957946564766,0.9993149466906643,0.999835957421998,0.9999999995941287,0.9994931697384103,0.9992260421968764,0.9997058109373886
fine_net_k50,0.9996016134942393,0.9976303783188726,0.9989840479350223,0.9994931697384103,0.9999999995735589,0.9998457427894817,0.9999620502419401
fine_net_k100,0.9994864222859156,0.9972379825114066,0.9989281382519095,0.9992260421968764,0.9998457427894817,0.9999999995522828,0.9997156431084986
fine_net_k200,0.999747709139453,0.9981328448297551,0.9992277957489554,0.9997058109373886,0.9999620502419401,0.9997156431084986,0.9999999995406441
