,target_fine_net,target_delta_components,target_delta_density,target_delta_block_var,target_delta_block_entropy,target_future_density,target_future_live_count
target_fine_net,0.9999999996342406,0.9999999996342406,0.19951765189778128,0.09656983798122047,0.12320374407125317,0.19951765189778625,0.7754913838879599
target_delta_components,0.9999999996342406,0.9999999996342406,0.19951765189778128,0.09656983798122047,0.12320374407125317,0.19951765189778625,0.7754913838879599
target_delta_density,0.19951765189778128,0.19951765189778128,0.9999999711522911,0.9755115217911958,0.6820688346284179,0.9999999711522912,0.007756327208189995
target_delta_block_var,0.09656983798122047,0.09656983798122047,0.9755115217911958,0.9999999992488566,0.77175863288765,0.9755115217911955,0.022239618612750117
target_delta_block_entropy,0.12320374407125317,0.12320374407125317,0.6820688346284179,0.77175863288765,0.9999999996195236,0.6820688346284174,0.06100421465762784
target_future_density,0.19951765189778625,0.19951765189778625,0.9999999711522912,0.9755115217911955,0.6820688346284174,0.9999999711522913,0.007756327208194935
target_future_live_count,0.7754913838879599,0.7754913838879599,0.007756327208189995,0.022239618612750117,0.06100421465762784,0.007756327208194935,0.9999999838568213
