scope,rule,model,mean_cv_R2,sd_cv_R2,min_cv_R2,max_cv_R2,n_conditions,mean_slope_raw,sd_slope_raw,cv_slope_raw,frac_slope_CI_negative,frac_slope_CI_positive,mean_in_sample_R2
rule_model,GoL,all_fates,0.5483172300965877,0.02065482232357626,0.5185296067600358,0.5730443662966305,8,,,,,,
rule_model,GoL,all_plus_coarse,0.5501267237016203,0.02324074770761263,0.5145329759338577,0.5748319605171907,8,,,,,,
rule_model,GoL,birth_bridge,0.3793472525799275,0.05924348179289255,0.2605217097925433,0.45063384834896353,8,,,,,,
rule_model,GoL,cell_fates_all,0.43158977486957983,0.03408754173859082,0.3663602233180864,0.4779709787066371,8,,,,,,
rule_model,GoL,coarse,0.004228788999307138,0.007679796860634984,-0.00728908965146986,0.013639932529860377,8,,,,,,
rule_model,GoL,death,0.14777059824790917,0.06560651219523464,0.059426389081951324,0.22958885275841778,8,,,,,,
rule_model,GoL,entropy,0.000779685729101834,0.005847641955554376,-0.006512468557363782,0.01018705682401635,8,,,,,,
rule_model,GoL,iso_count,0.3603129662935024,0.035847597030732585,0.30333672296602165,0.41357018552451114,8,,,,,,
rule_model,GoL,local_window,0.5399864469947891,0.025976439826931725,0.5029329483002837,0.5663220591479454,8,,,,,,
rule_model,GoL,survive,0.2398727138170969,0.06194178891357568,0.1375711802128279,0.30685939465016787,8,,,,,,
rule_model,GoL,survive_split,0.31711648548761395,0.0623369210672756,0.22272349914921036,0.3882897940387875,8,,,,,,
rule_model,HighLife,all_fates,0.5424020946550745,0.02127208938427815,0.511867785300893,0.5793233482468307,8,,,,,,
rule_model,HighLife,all_plus_coarse,0.544519942714168,0.02127881473783318,0.5132229370201203,0.5790815037890987,8,,,,,,
rule_model,HighLife,birth_bridge,0.3657247723320972,0.065823981892762,0.25928707912860965,0.4306222089391133,8,,,,,,
rule_model,HighLife,cell_fates_all,0.42656593240936697,0.03380892145486565,0.37854637078399583,0.47428954341009044,8,,,,,,
