sample_id,condition_id,rule,L,rho,live_count,density,components_t0,components_t1,fine_net_1,iso_count
73,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,501,230,-271,214
74,GoL_L64_rho0.20,GoL,64,0.2,821,0.200439453125,503,215,-288,171
75,GoL_L64_rho0.20,GoL,64,0.2,831,0.202880859375,496,213,-283,207
76,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,492,222,-270,198
77,GoL_L64_rho0.20,GoL,64,0.2,868,0.2119140625,521,236,-285,207
78,GoL_L64_rho0.20,GoL,64,0.2,784,0.19140625,501,207,-294,198
79,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,470,211,-259,168
80,GoL_L64_rho0.20,GoL,64,0.2,864,0.2109375,535,229,-306,229
81,GoL_L64_rho0.20,GoL,64,0.2,782,0.19091796875,490,210,-280,196
82,GoL_L64_rho0.20,GoL,64,0.2,787,0.192138671875,477,202,-275,177
83,GoL_L64_rho0.20,GoL,64,0.2,785,0.191650390625,490,197,-293,210
84,GoL_L64_rho0.20,GoL,64,0.2,823,0.200927734375,496,201,-295,198
85,GoL_L64_rho0.20,GoL,64,0.2,856,0.208984375,520,217,-303,215
86,GoL_L64_rho0.20,GoL,64,0.2,800,0.1953125,500,229,-271,199
87,GoL_L64_rho0.20,GoL,64,0.2,860,0.2099609375,505,206,-299,193
88,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,498,222,-276,217
89,GoL_L64_rho0.20,GoL,64,0.2,815,0.198974609375,488,205,-283,191
90,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,495,214,-281,214
91,GoL_L64_rho0.20,GoL,64,0.2,792,0.193359375,481,196,-285,184
92,GoL_L64_rho0.20,GoL,64,0.2,831,0.202880859375,500,228,-272,194
93,GoL_L64_rho0.20,GoL,64,0.2,799,0.195068359375,474,194,-280,189
94,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,490,238,-252,184
95,GoL_L64_rho0.20,GoL,64,0.2,802,0.19580078125,490,221,-269,183
96,GoL_L64_rho0.20,GoL,64,0.2,786,0.19189453125,473,203,-270,177
97,GoL_L64_rho0.20,GoL,64,0.2,841,0.205322265625,505,220,-285,210
98,GoL_L64_rho0.20,GoL,64,0.2,775,0.189208984375,476,208,-268,187
99,GoL_L64_rho0.20,GoL,64,0.2,832,0.203125,502,213,-289,200
100,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,501,207,-294,209
101,GoL_L64_rho0.20,GoL,64,0.2,805,0.196533203125,490,206,-284,189
102,GoL_L64_rho0.20,GoL,64,0.2,816,0.19921875,487,199,-288,189
103,GoL_L64_rho0.20,GoL,64,0.2,863,0.210693359375,510,220,-290,210
104,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,507,231,-276,219
105,GoL_L64_rho0.20,GoL,64,0.2,893,0.218017578125,521,223,-298,207
106,GoL_L64_rho0.20,GoL,64,0.2,841,0.205322265625,487,195,-292,187
107,GoL_L64_rho0.20,GoL,64,0.2,826,0.20166015625,491,234,-257,188
108,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,488,210,-278,190
109,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,500,238,-262,225
110,GoL_L64_rho0.20,GoL,64,0.2,832,0.203125,510,244,-266,186
111,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,514,214,-300,218
112,GoL_L64_rho0.20,GoL,64,0.2,876,0.2138671875,506,221,-285,204
113,GoL_L64_rho0.20,GoL,64,0.2,786,0.19189453125,475,225,-250,192
114,GoL_L64_rho0.20,GoL,64,0.2,866,0.21142578125,528,242,-286,229
115,GoL_L64_rho0.20,GoL,64,0.2,878,0.21435546875,520,247,-273,230
116,GoL_L64_rho0.20,GoL,64,0.2,757,0.184814453125,472,188,-284,178
117,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,533,206,-327,240
118,GoL_L64_rho0.20,GoL,64,0.2,784,0.19140625,484,197,-287,196
119,GoL_L64_rho0.20,GoL,64,0.2,794,0.19384765625,489,199,-290,188
120,GoL_L64_rho0.20,GoL,64,0.2,806,0.19677734375,514,238,-276,207
121,GoL_L64_rho0.20,GoL,64,0.2,850,0.20751953125,488,217,-271,199
122,GoL_L64_rho0.20,GoL,64,0.2,845,0.206298828125,487,222,-265,191
123,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,488,198,-290,213
124,GoL_L64_rho0.20,GoL,64,0.2,877,0.214111328125,520,236,-284,214
125,GoL_L64_rho0.20,GoL,64,0.2,781,0.190673828125,487,212,-275,201
126,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,494,209,-285,191
127,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,488,208,-280,173
128,GoL_L64_rho0.20,GoL,64,0.2,818,0.19970703125,499,195,-304,201
129,GoL_L64_rho0.20,GoL,64,0.2,869,0.212158203125,489,225,-264,186
130,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,531,220,-311,219
131,GoL_L64_rho0.20,GoL,64,0.2,853,0.208251953125,491,230,-261,187
